donor_id,blood_group,distance_km,days_since_last_donation,past_acceptance_rate,urgency_level,time_of_day,accept_probability,accepted
D471,B+,11.27,171,0.57,Low,Night,0.66,1
D472,AB-,3.39,81,0.93,High,Morning,0.82,1
D473,AB+,17.62,165,0.44,Medium,Night,0.51,1
D474,O-,8.36,235,0.13,Medium,Afternoon,0.53,1
D475,O-,18.46,220,0.12,Medium,Evening,0.37,1
D476,O-,17.24,80,0.98,Low,Afternoon,0.63,1
D477,B-,15.59,194,0.34,Medium,Morning,0.5,1
D478,B+,18.31,238,0.77,High,Evening,0.63,0
D479,B-,1.78,289,0.46,High,Morning,0.76,1
D480,AB+,16.82,157,0.13,Low,Evening,0.4,0
D481,B-,7.68,267,0.55,High,Morning,0.7,1
D482,AB+,7.76,258,0.26,Medium,Evening,0.59,1
D483,B-,15.1,76,0.36,Medium,Morning,0.41,1
D484,A+,17.21,145,0.71,Medium,Night,0.63,1
D485,AB+,9.74,97,0.68,High,Morning,0.67,1
D486,B-,14.4,170,0.48,Medium,Evening,0.58,1
D487,AB-,9.6,296,0.84,Medium,Morning,0.79,1
D488,AB+,11.45,174,0.37,Low,Night,0.58,1
D489,B-,12.99,171,0.34,High,Evening,0.54,1
D490,O-,18.04,236,0.69,High,Afternoon,0.61,0
D491,B-,19.95,162,0.92,Medium,Night,0.67,0
D492,AB-,7.19,143,0.72,High,Night,0.78,0
D493,O-,10.39,117,0.86,High,Afternoon,0.78,1
D494,AB-,2.99,162,0.75,High,Afternoon,0.86,0
D495,AB-,13.26,143,0.42,High,Evening,0.57,1
D496,A-,7.75,180,0.52,Low,Night,0.69,1
D497,O+,9.71,129,0.55,High,Night,0.67,1
D498,O-,1.55,107,0.22,Low,Evening,0.63,1
D499,B+,3.29,122,0.8,Medium,Evening,0.87,1
D500,B+,6.61,59,0.1,Medium,Afternoon,0.39,0
D501,O+,11.74,111,0.54,Low,Afternoon,0.62,1
D502,A+,8.37,274,0.44,Low,Afternoon,0.65,0
D503,AB-,17.89,127,0.12,Low,Afternoon,0.38,1
D504,A+,6.59,82,0.45,High,Evening,0.59,1
D505,B+,6.31,178,0.51,High,Evening,0.71,1
D506,O+,7.18,280,0.42,Low,Afternoon,0.66,0
D507,B+,0.87,144,0.75,Low,Afternoon,0.89,1
D508,A+,2.9,49,0.44,High,Evening,0.55,0
D509,A-,12.08,54,0.7,High,Morning,0.53,1
D510,B-,8.63,224,0.21,Medium,Night,0.55,0
D511,AB+,14.06,34,0.37,High,Morning,0.32,0
D512,A-,12.64,100,0.48,Low,Morning,0.55,1
D513,O+,10.21,132,0.8,High,Afternoon,0.77,1
D514,A+,6.26,50,0.59,Low,Night,0.57,1
D515,A-,0.75,75,0.92,High,Night,0.84,1
D516,O-,15.7,68,0.75,Low,Evening,0.53,0
D517,A+,19.78,181,0.34,Low,Morning,0.44,0
D518,A-,17.12,214,0.82,Medium,Night,0.67,0
D519,O-,17.1,53,0.11,Low,Afternoon,0.22,0
D520,B+,19.12,167,0.89,Low,Evening,0.67,0
D521,O-,2.72,234,0.97,Medium,Night,0.95,1
D522,B+,16.1,115,0.2,High,Morning,0.43,0
D523,O+,2.52,277,0.82,High,Night,0.89,1
D524,O-,15.69,44,0.88,High,Afternoon,0.53,1
D525,A+,2.7,240,0.5,Low,Evening,0.76,1
D526,AB-,14.24,298,0.79,High,Afternoon,0.7,0
D527,O+,10.62,78,0.49,High,Afternoon,0.53,1
D528,B+,3.4,57,0.11,Low,Night,0.44,0
D529,B-,1.96,281,0.39,Medium,Evening,0.73,1
D530,O-,11.23,223,0.46,Low,Morning,0.62,1
D531,A+,2.22,285,0.5,Low,Night,0.77,1
D532,AB+,2.5,241,0.13,High,Morning,0.61,0
D533,A+,17.86,135,0.69,Medium,Evening,0.61,1
D534,AB-,16.42,262,0.4,High,Night,0.51,0
D535,AB-,14.46,88,0.19,High,Afternoon,0.38,1
D536,B+,16.68,179,0.59,Medium,Morning,0.59,1
D537,O+,10.1,239,0.2,High,Afternoon,0.53,1
D538,A-,4.7,127,0.75,Low,Night,0.83,1
D539,A+,15.56,260,0.51,High,Afternoon,0.57,0
D540,B+,10.84,54,0.6,Medium,Night,0.51,0
D541,AB-,13.99,118,0.76,Low,Morning,0.69,1
D542,AB-,10.33,226,0.48,High,Afternoon,0.64,1
D543,AB+,19.42,261,0.82,Low,Night,0.64,1
D544,AB+,16.94,190,0.74,High,Afternoon,0.64,1
D545,AB-,13.89,97,0.98,High,Afternoon,0.73,1
D546,AB+,14.35,210,0.61,High,Night,0.63,0
D547,B+,17.61,246,0.83,High,Morning,0.67,1
D548,B+,1.53,58,0.28,Low,Evening,0.53,0
D549,O-,16.87,181,0.28,High,Morning,0.46,1
D550,AB+,2.5,144,0.77,High,Night,0.87,1
D551,AB-,14.01,54,0.93,Medium,Night,0.6,0
D552,O-,19.33,57,0.11,Medium,Afternoon,0.2,0
D553,B-,16.68,218,0.78,High,Afternoon,0.66,0
D554,A-,6.24,120,0.99,Low,Afternoon,0.9,0
D555,AB+,7.86,249,0.35,Medium,Afternoon,0.62,1
D556,AB-,0.61,268,0.74,Low,Morning,0.89,1
D557,AB-,12.14,184,0.54,High,Evening,0.63,1
D558,O+,10.75,124,0.57,High,Afternoon,0.67,1
D559,AB+,2.29,143,0.9,High,Evening,0.93,1
D560,AB-,4.76,273,1.0,High,Morning,0.93,1
D561,A-,9.19,154,0.96,High,Evening,0.85,1
D562,O-,8.02,174,0.12,High,Evening,0.53,1
D563,A-,9.99,181,0.91,Low,Evening,0.81,1
D564,O+,3.76,33,0.66,Low,Afternoon,0.59,0
D565,A-,16.8,135,0.58,High,Night,0.58,0
D566,A-,15.06,108,0.12,High,Evening,0.39,1
D567,O+,1.56,158,0.6,High,Afternoon,0.82,0
D568,A+,8.07,237,0.49,Low,Night,0.67,0
D569,A-,13.01,62,0.78,High,Morning,0.57,0
D570,AB+,7.48,287,0.2,High,Evening,0.57,0
D571,B-,15.42,254,0.44,High,Morning,0.54,1
D572,B+,3.16,230,0.82,High,Evening,0.88,0
D573,A+,6.31,221,0.96,Low,Afternoon,0.89,1
D574,AB-,11.67,231,0.58,Low,Evening,0.66,1
D575,AB+,4.63,292,0.23,Low,Afternoon,0.62,1
D576,O-,4.29,122,0.7,High,Morning,0.82,0
D577,O-,13.07,67,0.36,Low,Evening,0.42,1
D578,A-,19.06,212,0.22,High,Afternoon,0.4,1
D579,B+,18.05,192,0.54,Medium,Evening,0.55,0
D580,B-,11.53,216,0.83,Medium,Afternoon,0.76,1
D581,AB-,15.82,253,0.35,Medium,Afternoon,0.5,0
D582,B+,17.62,266,0.5,Medium,Night,0.54,0
D583,A-,13.09,71,0.86,Low,Afternoon,0.63,1
D584,O+,14.68,39,0.86,High,Morning,0.52,0
D585,O-,15.5,138,0.92,High,Evening,0.74,1
D586,A-,13.25,106,0.43,Low,Evening,0.54,1
D587,B+,8.24,287,0.11,Low,Afternoon,0.52,0
D588,O-,9.2,121,0.61,High,Afternoon,0.71,0
D589,AB-,18.81,50,0.3,Medium,Afternoon,0.26,1
D590,O-,5.06,135,0.57,Medium,Night,0.75,1
D591,AB+,17.69,50,0.98,Medium,Morning,0.55,0
D592,O+,16.78,164,0.62,High,Afternoon,0.6,1
D593,AB-,7.62,69,0.56,Medium,Afternoon,0.58,1
D594,B+,16.44,206,0.54,Medium,Morning,0.57,1
D595,B+,9.08,147,0.17,High,Evening,0.53,1
D596,O-,3.57,90,0.69,Medium,Evening,0.75,1
D597,A+,13.67,275,0.29,Low,Night,0.51,1
D598,B+,2.99,112,0.22,High,Morning,0.62,0
D599,A+,1.59,162,0.93,High,Night,0.95,1
D600,O-,17.63,175,0.95,Low,Night,0.72,1
D601,B+,17.41,117,0.3,Medium,Afternoon,0.45,0
D602,A-,12.65,291,0.34,High,Evening,0.55,0
D603,O+,4.98,227,0.22,Low,Afternoon,0.61,1
D604,A-,16.62,79,0.26,High,Morning,0.35,0
D605,O+,2.32,96,0.91,High,Morning,0.87,0
D606,O-,10.68,219,0.89,High,Night,0.8,1
D607,AB+,15.9,225,0.42,High,Morning,0.53,1
D608,O+,9.8,149,0.92,Low,Evening,0.82,1
D609,O+,5.53,32,0.74,Low,Morning,0.59,1
D610,AB+,13.26,191,0.47,Low,Afternoon,0.59,1
D611,O+,5.6,246,0.61,High,Evening,0.76,0
D612,O-,15.22,241,0.6,High,Night,0.61,1
D613,A-,5.45,187,0.62,High,Night,0.77,1
D614,O+,15.08,258,0.8,Low,Morning,0.69,1
D615,B+,15.83,56,0.24,High,Morning,0.3,0
D616,A+,9.7,252,0.18,Medium,Afternoon,0.53,1
D617,A+,14.63,235,0.65,High,Evening,0.64,0
D618,AB+,18.94,119,0.68,Medium,Morning,0.59,1
D619,AB-,4.3,291,0.56,Low,Afternoon,0.76,1
D620,AB-,5.17,30,0.98,Low,Evening,0.69,0
D621,A-,13.56,237,0.63,High,Morning,0.65,0
D622,AB+,18.42,175,0.75,High,Evening,0.62,1
D623,O+,4.91,129,0.51,Medium,Morning,0.73,1
D624,AB+,10.37,67,0.55,Medium,Morning,0.53,0
D625,AB-,17.58,158,0.72,Medium,Night,0.62,0
D626,AB+,19.24,264,0.71,High,Morning,0.6,1
D627,AB-,1.82,142,0.71,Low,Evening,0.86,1
D628,O+,10.57,34,0.73,Medium,Afternoon,0.52,1
D629,B-,13.64,205,0.17,Low,Night,0.46,1
D630,B-,17.94,167,0.26,High,Afternoon,0.43,0
D631,B-,5.08,153,0.89,Low,Afternoon,0.88,1
D632,O-,16.81,212,0.24,Low,Morning,0.44,0
D633,AB+,12.47,51,0.86,Medium,Evening,0.58,1
D634,O+,10.07,291,0.35,Low,Afternoon,0.59,1
D635,A-,9.83,46,0.55,Medium,Afternoon,0.49,1
D636,O+,14.12,265,0.38,Low,Morning,0.54,0
D637,B-,11.83,196,0.43,Medium,Afternoon,0.59,1
D638,AB-,5.75,205,0.43,Medium,Night,0.69,1
D639,B-,7.62,235,0.35,Low,Afternoon,0.63,0
D640,B-,16.38,168,0.82,High,Night,0.68,0
D641,B+,3.34,106,0.53,Low,Afternoon,0.73,1
D642,A+,19.91,294,0.58,Medium,Night,0.53,1
D643,A-,8.27,113,0.15,Medium,Night,0.52,0
D644,O+,9.27,201,0.33,Medium,Evening,0.59,1
D645,AB+,2.86,131,0.62,High,Afternoon,0.81,0
D646,O+,7.42,291,0.54,High,Night,0.7,0
D647,AB-,12.47,267,0.67,Low,Afternoon,0.68,1
D648,B-,8.73,237,0.86,Low,Morning,0.81,1
D649,O-,6.61,179,0.74,High,Night,0.8,1
D650,B+,15.73,215,0.77,High,Night,0.67,1
D651,A-,17.16,94,0.75,High,Evening,0.58,0
D652,A+,4.61,233,0.19,Low,Night,0.61,1
D653,B+,15.53,298,0.79,Low,Morning,0.68,1
D654,B+,2.14,229,0.38,Low,Evening,0.72,1
D655,AB-,3.06,117,0.13,High,Evening,0.6,0
D656,B+,17.35,269,0.98,High,Evening,0.73,1
D657,AB+,19.41,120,0.63,Medium,Night,0.56,1
D658,O+,18.22,276,0.59,Low,Night,0.56,1
D659,O-,5.57,185,0.11,High,Afternoon,0.56,1
D660,O+,10.93,281,0.95,Medium,Evening,0.82,1
D661,O+,16.06,148,0.82,High,Evening,0.69,1
D662,B-,8.2,113,0.74,High,Night,0.76,0
D663,AB+,5.63,246,0.66,High,Evening,0.78,1
D664,O-,8.55,65,0.26,Medium,Morning,0.44,0
D665,A+,5.81,281,0.27,Low,Afternoon,0.62,1
D666,B-,4.13,82,0.35,Low,Night,0.58,0
D667,O-,2.26,37,0.54,Medium,Night,0.57,1
D668,B+,19.96,267,0.73,Low,Evening,0.59,1
D669,AB+,1.59,230,0.16,Medium,Afternoon,0.64,1
D670,O-,16.44,36,0.21,High,Afternoon,0.23,0
D671,B-,5.32,47,0.28,High,Morning,0.45,0
D672,A-,9.72,189,0.94,Low,Morning,0.83,1
D673,B-,5.44,182,0.28,Low,Afternoon,0.63,0
D674,B-,12.84,196,0.11,Medium,Morning,0.45,1
D675,B+,0.67,51,0.62,High,Night,0.67,0
D676,AB-,7.74,75,0.32,Medium,Morning,0.5,0
D677,A-,18.65,60,0.15,High,Afternoon,0.23,0
D678,O-,2.95,149,0.39,High,Evening,0.71,0
D679,A+,14.8,40,0.72,Medium,Afternoon,0.47,1
D680,B+,9.96,254,0.6,High,Night,0.69,1
D681,B+,11.1,195,0.76,Medium,Afternoon,0.74,1
D682,O+,9.26,164,0.59,Medium,Morning,0.7,0
D683,A-,14.81,39,0.66,Medium,Afternoon,0.44,1
D684,B+,13.34,228,0.27,High,Night,0.51,0
D685,A-,12.45,195,0.47,Medium,Morning,0.6,1
D686,B-,1.35,96,0.26,Low,Afternoon,0.62,1
D687,B-,2.43,228,0.69,High,Evening,0.84,1
D688,A-,12.32,66,0.11,Low,Night,0.32,0
D689,A+,9.63,61,0.42,High,Night,0.48,0
D690,A-,16.56,166,0.58,High,Morning,0.58,0
D691,B-,18.92,295,0.19,High,Afternoon,0.39,0
D692,AB-,4.27,157,0.61,Low,Night,0.78,1
D693,AB-,13.65,248,0.89,Low,Afternoon,0.75,1
D694,O+,13.32,256,0.94,Medium,Evening,0.78,0
D695,B-,15.4,250,0.84,Medium,Afternoon,0.71,1
D696,A+,7.81,160,0.42,Medium,Night,0.65,0
D697,AB+,14.66,175,0.64,High,Afternoon,0.64,0
D698,AB+,0.63,143,0.29,Medium,Morning,0.71,0
D699,O-,18.42,291,0.6,High,Afternoon,0.56,1
D700,AB+,7.44,100,0.34,High,Afternoon,0.57,1
D701,O-,2.29,234,0.61,Low,Morning,0.81,1
D702,O+,3.87,78,0.64,Medium,Morning,0.69,0
D703,O+,2.03,58,0.93,Medium,Evening,0.79,0
D704,O+,8.62,91,0.88,Low,Morning,0.75,1
D705,B-,1.56,298,0.14,High,Afternoon,0.63,1
D706,AB+,3.49,231,0.97,High,Morning,0.94,1
D707,A+,15.83,105,0.22,Low,Night,0.41,0
D708,B+,11.19,164,0.18,High,Night,0.5,0
D709,B-,15.36,276,0.6,Medium,Night,0.61,0
D710,AB-,11.44,298,0.32,Low,Evening,0.56,0
D711,B-,13.85,75,0.2,Medium,Night,0.36,0
D712,O-,6.75,42,0.79,Low,Evening,0.62,1
D713,B+,12.65,255,0.14,Low,Afternoon,0.47,0
D714,B+,15.28,73,0.2,Low,Afternoon,0.33,0
D715,O-,17.44,177,0.11,High,Morning,0.38,1
D716,AB+,0.94,137,0.77,Low,Afternoon,0.89,1
D717,A+,11.2,102,0.73,High,Morning,0.68,1
D718,A+,5.48,60,0.36,High,Evening,0.51,1
D719,A+,1.8,168,0.7,High,Evening,0.85,0
D720,O-,6.2,227,0.31,Medium,Morning,0.63,0
D721,A+,17.4,75,0.27,High,Night,0.33,0
D722,AB-,1.28,186,0.4,Medium,Afternoon,0.74,1
D723,AB+,7.43,184,0.31,High,Evening,0.61,0
D724,O+,17.63,45,0.95,Medium,Afternoon,0.53,1
D725,B+,13.31,74,0.76,High,Afternoon,0.59,1
D726,B-,8.82,189,0.92,Medium,Night,0.84,1
D727,B+,13.22,133,0.88,Medium,Afternoon,0.75,1
D728,B+,13.3,110,0.39,High,Morning,0.53,1
D729,AB+,14.68,193,0.89,Medium,Night,0.74,1
D730,AB+,3.46,126,0.2,Low,Morning,0.63,0
D731,O-,12.31,148,0.64,Low,Morning,0.67,1
D732,O-,3.11,270,0.74,Medium,Afternoon,0.85,0
D733,A+,9.74,113,0.27,Low,Night,0.54,0
D734,A-,18.55,241,0.3,High,Afternoon,0.44,0
D735,B-,3.95,254,0.88,Medium,Evening,0.89,1
D736,A+,8.84,51,0.65,Medium,Evening,0.55,1
D737,O+,10.65,261,0.51,Low,Afternoon,0.64,1
D738,O-,19.68,50,0.6,High,Morning,0.37,1
D739,AB+,8.26,185,0.8,Medium,Night,0.8,1
D740,O-,12.46,57,0.72,Low,Night,0.54,0
D741,AB-,2.26,286,0.2,High,Afternoon,0.65,1
D742,A-,9.29,121,0.51,High,Afternoon,0.66,0
D743,O-,5.38,113,0.75,Low,Morning,0.8,1
D744,O+,12.86,73,0.57,Medium,Afternoon,0.52,1
D745,B+,1.36,117,0.92,High,Afternoon,0.94,1
D746,B+,3.99,56,0.48,Medium,Night,0.57,1
D747,O-,2.79,97,0.96,Low,Evening,0.88,1
D748,O-,17.18,32,0.65,Medium,Afternoon,0.38,1
D749,AB+,9.35,256,0.17,High,Morning,0.53,1
D750,A+,12.59,136,0.14,Low,Morning,0.47,0
D751,A-,3.33,46,0.7,High,Evening,0.65,1
D752,B+,1.46,243,0.99,Low,Evening,0.97,1
D753,O+,19.34,214,0.94,Low,Evening,0.69,1
D754,A-,16.5,248,0.86,Low,Evening,0.7,1
D755,A+,14.05,170,0.4,Medium,Afternoon,0.55,0
D756,AB-,2.63,300,0.99,Medium,Evening,0.96,1
D757,O-,5.56,211,0.93,High,Night,0.89,1
D758,A+,10.1,122,0.9,Low,Evening,0.81,0
D759,O+,2.81,268,0.66,Low,Afternoon,0.82,1
D760,B-,8.57,200,0.41,High,Afternoon,0.64,1
D761,AB-,13.96,160,0.81,Medium,Evening,0.71,1
D762,A+,15.46,88,0.72,Medium,Night,0.58,0
D763,A+,16.72,129,0.4,Medium,Night,0.51,0
D764,O+,13.09,276,0.24,Medium,Evening,0.5,1
D765,A+,18.59,58,0.85,Medium,Evening,0.51,0
D766,AB+,4.56,199,0.82,Medium,Morning,0.86,0
D767,O+,16.89,203,0.99,High,Afternoon,0.74,1
D768,AB+,4.15,89,0.88,Medium,Evening,0.81,1
D769,AB+,8.57,284,0.89,Medium,Night,0.83,1
D770,A-,4.71,184,0.26,Medium,Morning,0.63,0
D771,O-,9.15,42,0.82,High,Afternoon,0.6,1
D772,A-,14.78,298,0.38,Medium,Afternoon,0.53,0
D773,O-,16.53,294,0.71,Low,Afternoon,0.64,0
D774,A-,8.06,297,0.2,Medium,Morning,0.56,0
D775,AB+,7.0,53,0.19,High,Evening,0.4,1
D776,AB-,12.96,137,0.39,Low,Evening,0.56,1
D777,A-,15.57,90,0.35,Low,Evening,0.43,1
D778,AB+,4.53,209,0.59,Medium,Afternoon,0.77,0
D779,A+,11.69,117,0.16,High,Evening,0.48,0
D780,A-,3.04,271,0.91,Low,Morning,0.92,1
D781,AB+,8.82,121,0.73,High,Night,0.76,1
D782,O-,6.98,131,0.74,High,Morning,0.79,0
D783,AB+,11.57,77,0.83,High,Night,0.65,1
D784,AB+,13.85,268,0.52,Low,Afternoon,0.6,0
D785,AB-,18.3,230,0.27,High,Evening,0.43,0
D786,B+,9.34,45,0.16,Low,Evening,0.34,0
D787,A-,6.0,208,0.64,Low,Morning,0.77,1
D788,O+,6.85,66,0.81,High,Night,0.69,1
D789,B-,5.15,154,0.59,Medium,Night,0.76,1
D790,B-,16.37,250,0.81,Medium,Evening,0.68,1
D791,O-,3.88,69,0.77,High,Night,0.72,1
D792,A-,6.84,79,0.84,Low,Evening,0.73,0
D793,B+,12.17,224,0.39,High,Morning,0.57,1
D794,AB+,17.8,30,0.78,High,Afternoon,0.42,0
D795,AB+,8.1,258,0.28,High,Evening,0.59,1
D796,O+,18.41,252,0.75,Medium,Morning,0.62,1
D797,AB-,17.03,180,0.16,High,Morning,0.41,1
D798,O+,2.64,174,0.88,Low,Night,0.91,1
D799,O-,12.69,225,0.47,Medium,Afternoon,0.6,0
D800,B+,3.21,226,0.86,Medium,Night,0.9,1
D801,B+,3.12,66,0.68,Low,Night,0.69,1
D802,O-,2.15,242,0.87,High,Night,0.92,1
D803,A+,10.43,260,0.45,Low,Afternoon,0.62,1
D804,AB-,11.77,151,0.74,Medium,Night,0.72,0
D805,O-,1.15,49,0.61,High,Evening,0.65,1
D806,A-,19.25,70,0.23,High,Evening,0.28,0
D807,AB+,10.71,75,0.32,High,Morning,0.45,0
D808,O-,12.45,205,0.58,Low,Night,0.65,1
D809,AB+,11.69,199,0.48,Medium,Evening,0.62,1
D810,AB+,14.68,163,0.16,Medium,Afternoon,0.44,0
D811,AB+,16.27,43,0.36,Low,Afternoon,0.31,0
D812,B+,5.41,173,0.35,Medium,Morning,0.66,0
D813,B-,18.25,107,0.69,Medium,Afternoon,0.57,1
D814,B+,9.96,300,0.88,Medium,Morning,0.8,0
D815,B+,16.83,241,0.79,Low,Night,0.66,0
D816,O-,4.61,206,0.15,Medium,Morning,0.59,1
D817,O+,8.28,184,0.53,High,Afternoon,0.69,1
D818,O-,9.75,104,0.58,Medium,Morning,0.65,1
D819,AB-,7.95,191,0.97,High,Morning,0.87,1
D820,AB+,19.15,251,0.65,High,Evening,0.57,1
D821,B-,16.15,160,0.69,Medium,Night,0.63,0
D822,A+,14.82,129,0.57,High,Afternoon,0.61,1
D823,AB-,13.62,64,0.11,Low,Morning,0.3,0
D824,A+,4.78,175,0.33,Low,Morning,0.66,1
D825,A-,18.8,141,0.96,High,Morning,0.7,0
D826,B+,2.18,96,0.44,High,Afternoon,0.68,0
D827,AB+,5.44,269,0.69,Low,Night,0.79,0
D828,O+,15.5,195,0.33,Low,Evening,0.5,0
D829,O-,8.08,60,0.33,Medium,Afternoon,0.46,1
D830,O+,19.6,132,0.65,Low,Night,0.57,1
D831,A-,4.76,84,0.92,High,Evening,0.81,1
D832,A+,1.87,158,0.8,Low,Night,0.89,1
D833,A+,18.69,229,0.34,High,Evening,0.46,0
D834,A+,10.55,281,0.53,Medium,Morning,0.65,1
D835,AB+,8.0,276,0.21,High,Evening,0.56,1
D836,AB+,8.31,76,0.43,Medium,Morning,0.54,0
D837,O+,13.13,120,0.6,Medium,Afternoon,0.64,1
D838,B+,17.98,213,0.54,High,Night,0.55,0
D839,A-,1.2,42,0.75,High,Afternoon,0.69,1
D840,A+,15.96,187,0.55,Medium,Morning,0.58,1
D841,B+,7.09,51,0.46,Low,Night,0.51,0
D842,A+,14.95,149,0.93,Low,Afternoon,0.75,1
D843,A+,9.69,53,0.32,High,Afternoon,0.42,1
D844,A-,18.14,79,0.51,Low,Morning,0.43,0
D845,O+,2.73,142,0.16,Low,Night,0.62,1
D846,AB-,6.82,100,0.39,Low,Morning,0.6,1
D847,B+,1.73,170,0.23,Medium,Afternoon,0.67,0
D848,A+,9.05,50,0.22,High,Night,0.38,0
D849,AB+,17.65,71,0.11,Low,Morning,0.26,0
D850,O-,8.62,273,0.72,Low,Afternoon,0.76,1
D851,A-,8.53,119,0.65,Low,Afternoon,0.73,1
D852,A-,12.73,184,0.41,Low,Afternoon,0.57,1
D853,B-,12.57,289,0.3,High,Afternoon,0.53,1
D854,A+,2.7,106,0.72,Medium,Night,0.81,1
D855,O-,1.55,216,0.36,Medium,Evening,0.72,1
D856,O-,1.34,56,0.93,Low,Afternoon,0.79,1
D857,AB-,10.54,66,0.91,High,Night,0.67,1
D858,B-,8.67,196,0.31,Low,Evening,0.59,1
D859,O-,14.89,132,0.44,Low,Morning,0.55,1
D860,AB-,1.56,253,0.23,High,Night,0.67,1
D861,A+,3.16,129,0.67,Medium,Afternoon,0.82,1
D862,B+,14.0,60,0.35,Low,Night,0.38,0
D863,B+,15.33,142,0.9,High,Afternoon,0.73,0
D864,B-,11.77,147,0.18,High,Night,0.5,0
D865,B-,12.04,266,0.35,High,Night,0.56,0
D866,A+,5.33,252,0.62,High,Afternoon,0.77,0
D867,O+,8.65,52,0.14,Medium,Morning,0.36,0
D868,A+,9.85,80,0.51,Low,Morning,0.56,1
D869,A-,14.02,238,0.95,Low,Evening,0.77,1
D870,O-,0.81,186,0.25,Medium,Morning,0.69,0
D871,A+,15.55,237,0.27,Medium,Night,0.47,0
D872,AB+,17.28,66,0.45,High,Evening,0.39,0
D873,A-,8.81,168,0.73,High,Afternoon,0.76,0
D874,A-,12.6,201,0.76,Low,Evening,0.72,0
D875,A-,7.97,268,0.66,Medium,Evening,0.74,1
D876,O-,11.43,134,0.22,Medium,Afternoon,0.52,0
D877,AB+,14.88,137,0.78,Low,Evening,0.69,1
D878,O-,10.32,246,0.35,Low,Evening,0.59,1
D879,AB-,10.28,92,0.52,High,Evening,0.58,1
D880,B+,16.1,63,0.27,Medium,Morning,0.32,1
D881,O-,6.12,69,0.2,Medium,Morning,0.46,0
D882,B+,3.43,134,0.57,High,Morning,0.78,1
D883,A-,9.74,245,0.5,High,Morning,0.65,1
D884,AB-,0.93,148,0.85,High,Evening,0.93,1
D885,B+,13.29,197,0.54,High,Night,0.62,1
D886,AB+,18.02,186,0.25,Medium,Afternoon,0.43,0
D887,B+,15.51,54,0.23,Medium,Night,0.29,0
D888,A-,14.38,176,0.26,Low,Afternoon,0.49,1
D889,B-,1.3,192,0.62,Medium,Evening,0.83,1
D890,B+,11.47,47,0.7,Medium,Afternoon,0.53,1
D891,O-,10.91,92,0.93,Medium,Night,0.74,0
D892,AB+,18.59,109,0.1,High,Evening,0.33,0
D893,O-,9.74,178,0.97,High,Afternoon,0.84,1
D894,A-,7.1,87,0.76,Low,Afternoon,0.72,1
D895,AB-,6.51,235,0.66,Low,Night,0.77,1
D896,A-,1.57,129,0.63,Low,Evening,0.83,1
D897,AB-,11.0,258,0.71,Low,Night,0.72,1
D898,O+,12.26,291,0.95,High,Evening,0.8,1
D899,O-,7.71,220,0.11,Medium,Evening,0.53,1
D900,AB+,17.55,74,0.29,Medium,Night,0.34,0
D901,A-,3.69,247,0.76,Medium,Afternoon,0.85,1
D902,O+,3.3,185,0.53,High,Evening,0.76,1
D903,O-,2.22,239,0.67,Medium,Night,0.83,1
D904,A+,14.35,100,0.28,Medium,Evening,0.45,0
D905,O-,16.54,184,0.85,Medium,Night,0.69,1
D906,AB+,4.88,31,0.24,Medium,Night,0.4,1
D907,AB+,8.63,281,0.92,High,Afternoon,0.84,1
D908,AB+,10.11,64,0.64,Medium,Night,0.56,0
D909,A+,12.75,273,0.98,Low,Evening,0.8,1
D910,B+,16.98,113,0.62,Low,Evening,0.58,1
D911,AB+,7.47,57,0.35,Medium,Evening,0.47,1
D912,B+,10.83,69,0.56,High,Afternoon,0.53,0
D913,AB-,11.1,191,0.84,High,Evening,0.77,1
D914,AB-,2.37,210,0.84,Low,Afternoon,0.9,1
D915,B-,15.69,240,0.41,Low,Morning,0.53,1
D916,A-,16.72,299,0.86,High,Morning,0.69,1
D917,AB-,2.77,97,0.93,Medium,Evening,0.87,1
D918,AB+,3.21,256,0.9,High,Evening,0.91,1
D919,AB+,1.06,90,0.3,High,Afternoon,0.63,0
D920,O-,2.94,96,0.98,Medium,Morning,0.89,1
D921,AB+,15.27,51,0.28,Low,Morning,0.31,0
D922,B-,1.34,184,0.7,Low,Morning,0.86,0
D923,AB+,11.96,132,0.27,Medium,Morning,0.53,1
D924,A-,19.0,208,0.42,High,Afternoon,0.48,0
D925,B+,2.43,37,0.58,High,Afternoon,0.59,0
D926,O-,18.08,32,0.98,Low,Afternoon,0.5,0
D927,O+,7.65,124,0.5,Low,Afternoon,0.69,0
D928,A-,8.77,293,0.3,Low,Evening,0.59,1
D929,A+,10.63,283,0.79,High,Evening,0.76,1
D930,AB+,2.1,282,0.2,Medium,Night,0.65,1
D931,O+,13.9,257,0.3,Medium,Evening,0.51,0
D932,O-,4.18,65,0.91,Medium,Evening,0.76,1
D933,O+,13.61,232,0.49,High,Morning,0.59,1
D934,B-,8.31,82,0.77,Low,Morning,0.69,1
D935,AB+,7.1,236,0.21,Medium,Night,0.58,1
D936,AB+,15.25,234,0.42,High,Night,0.54,0
D937,B+,3.37,262,0.2,Medium,Night,0.63,1
D938,O+,1.08,57,0.85,Medium,Morning,0.77,0
D939,O-,12.29,197,0.24,High,Morning,0.51,0
D940,AB-,15.96,133,0.36,Medium,Night,0.5,0
D941,A-,16.28,39,0.96,Low,Night,0.54,0
D942,B+,7.98,191,0.87,Medium,Night,0.83,1
